INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.841625452041626 	 train acc: 0.1527777777777778 	 eval acc: 0.19921875test acc: 0.18190386427898209 	 train f1: 0.07501172058134083 	 eval f1: 0.09666707335833602 	 test f1: 0.06110970742358977
DEBUG:root:Epoch: 1 	 Loss: 1.7657356262207031 	 train acc: 0.2777777777777778 	 eval acc: 0.2916666666666667test acc: 0.21300659754948162 	 train f1: 0.15255255255255254 	 eval f1: 0.1612036980095525 	 test f1: 0.10690192008303062
DEBUG:root:Epoch: 2 	 Loss: 1.7212401628494263 	 train acc: 0.2916666666666667 	 eval acc: 0.29296875test acc: 0.27238454288407166 	 train f1: 0.14356575963718823 	 eval f1: 0.14166888817177145 	 test f1: 0.1307977537722908
DEBUG:root:Epoch: 3 	 Loss: 1.7096619606018066 	 train acc: 0.2916666666666667 	 eval acc: 0.28515625test acc: 0.2639019792648445 	 train f1: 0.14356575963718823 	 eval f1: 0.1329680441693157 	 test f1: 0.1193513145640805
DEBUG:root:Epoch: 4 	 Loss: 1.6778234243392944 	 train acc: 0.3055555555555556 	 eval acc: 0.30859375test acc: 0.29688972667295005 	 train f1: 0.17897603485838778 	 eval f1: 0.1699590994164695 	 test f1: 0.15607477531937922
DEBUG:root:Epoch: 5 	 Loss: 1.6390588283538818 	 train acc: 0.3611111111111111 	 eval acc: 0.37109375test acc: 0.40999057492931196 	 train f1: 0.2601010101010101 	 eval f1: 0.2481953514156904 	 test f1: 0.26848361705224505
DEBUG:root:Epoch: 6 	 Loss: 1.6158039569854736 	 train acc: 0.4583333333333333 	 eval acc: 0.4583333333333333test acc: 0.5174363807728558 	 train f1: 0.3372093023255814 	 eval f1: 0.3092656700589576 	 test f1: 0.33714396998458523
DEBUG:root:Epoch: 7 	 Loss: 1.5771836042404175 	 train acc: 0.5694444444444444 	 eval acc: 0.6015625test acc: 0.7700282752120641 	 train f1: 0.4496965452847806 	 eval f1: 0.46157407228961794 	 test f1: 0.5783700071615282
DEBUG:root:Epoch: 8 	 Loss: 1.5356985330581665 	 train acc: 0.6388888888888888 	 eval acc: 0.6588541666666666test acc: 0.7935909519321395 	 train f1: 0.5027216610549944 	 eval f1: 0.5080079082978957 	 test f1: 0.5953200202031145
DEBUG:root:Epoch: 9 	 Loss: 1.4890942573547363 	 train acc: 0.6944444444444444 	 eval acc: 0.6901041666666666test acc: 0.7964184731385485 	 train f1: 0.5473118279569892 	 eval f1: 0.5316982928267093 	 test f1: 0.5972155052466377
DEBUG:root:Epoch: 10 	 Loss: 1.431868553161621 	 train acc: 0.7222222222222222 	 eval acc: 0.6888020833333334test acc: 0.7964184731385485 	 train f1: 0.5668596636338571 	 eval f1: 0.5318878049069511 	 test f1: 0.5972155052466377
DEBUG:root:Epoch: 11 	 Loss: 1.4566519260406494 	 train acc: 0.7222222222222222 	 eval acc: 0.6888020833333334test acc: 0.7964184731385485 	 train f1: 0.5668596636338571 	 eval f1: 0.5335791229882391 	 test f1: 0.5969565239558207
DEBUG:root:Epoch: 12 	 Loss: 1.4544211626052856 	 train acc: 0.75 	 eval acc: 0.6940104166666666test acc: 0.7964184731385485 	 train f1: 0.6403508771929824 	 eval f1: 0.5448886220633321 	 test f1: 0.59683933584047
DEBUG:root:Epoch: 13 	 Loss: 1.403119444847107 	 train acc: 0.7916666666666666 	 eval acc: 0.7135416666666666test acc: 0.7964184731385485 	 train f1: 0.7216818940956872 	 eval f1: 0.5765488789098456 	 test f1: 0.5996222929208529
DEBUG:root:Epoch: 14 	 Loss: 1.3771634101867676 	 train acc: 0.8055555555555556 	 eval acc: 0.7161458333333334test acc: 0.825636192271442 	 train f1: 0.7473544973544973 	 eval f1: 0.5936448805088953 	 test f1: 0.6756589248488756
DEBUG:root:Epoch: 15 	 Loss: 1.3871488571166992 	 train acc: 0.8472222222222222 	 eval acc: 0.7265625test acc: 0.8426013195098964 	 train f1: 0.8108309990662933 	 eval f1: 0.6110828871572384 	 test f1: 0.7104583878645055
