INFO:root:Start LIMU training for 3200 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 0.10106369107961655 	 loss eva: 0.09837038815021515 	
DEBUG:root:Epoch: 1 	 Loss: 0.07625284045934677 	 loss eva: 0.06921852380037308 	
DEBUG:root:Epoch: 2 	 Loss: 0.07217775285243988 	 loss eva: 0.06275861710309982 	
DEBUG:root:Epoch: 3 	 Loss: 0.06674603372812271 	 loss eva: 0.06883955746889114 	
DEBUG:root:Epoch: 4 	 Loss: 0.07330604642629623 	 loss eva: 0.05854469910264015 	
DEBUG:root:Epoch: 5 	 Loss: 0.0675293356180191 	 loss eva: 0.05654534697532654 	
DEBUG:root:Epoch: 6 	 Loss: 0.05766962096095085 	 loss eva: 0.06004367396235466 	
DEBUG:root:Epoch: 7 	 Loss: 0.06847099214792252 	 loss eva: 0.06486567854881287 	
DEBUG:root:Epoch: 8 	 Loss: 0.05782002955675125 	 loss eva: 0.062230486422777176 	
DEBUG:root:Epoch: 9 	 Loss: 0.07237806171178818 	 loss eva: 0.06312550604343414 	
DEBUG:root:Epoch: 10 	 Loss: 0.056182168424129486 	 loss eva: 0.0623224675655365 	
DEBUG:root:Epoch: 11 	 Loss: 0.062327831983566284 	 loss eva: 0.06401877850294113 	
DEBUG:root:Epoch: 12 	 Loss: 0.056340694427490234 	 loss eva: 0.060624439269304276 	
DEBUG:root:Epoch: 13 	 Loss: 0.058243341743946075 	 loss eva: 0.07134387642145157 	
DEBUG:root:Epoch: 14 	 Loss: 0.05814787372946739 	 loss eva: 0.06093804910778999 	
DEBUG:root:Epoch: 15 	 Loss: 0.0592939518392086 	 loss eva: 0.06895808130502701 	
DEBUG:root:Epoch: 16 	 Loss: 0.05288538336753845 	 loss eva: 0.05524740740656853 	
DEBUG:root:Epoch: 17 	 Loss: 0.05654734745621681 	 loss eva: 0.06369255483150482 	
DEBUG:root:Epoch: 18 	 Loss: 0.05553590878844261 	 loss eva: 0.0657406896352768 	
DEBUG:root:Epoch: 19 	 Loss: 0.07619491219520569 	 loss eva: 0.06740958988666534 	
DEBUG:root:Epoch: 20 	 Loss: 0.059044238179922104 	 loss eva: 0.056837648153305054 	
DEBUG:root:Epoch: 21 	 Loss: 0.05602186173200607 	 loss eva: 0.05847131088376045 	
DEBUG:root:Epoch: 22 	 Loss: 0.0688413605093956 	 loss eva: 0.06320410966873169 	
