INFO:root:Start LIMU training for 3200 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 0.07750795781612396 	 loss eva: 0.09519791603088379 	
DEBUG:root:Epoch: 1 	 Loss: 0.08302252739667892 	 loss eva: 0.09225505590438843 	
DEBUG:root:Epoch: 2 	 Loss: 0.0810818150639534 	 loss eva: 0.08872456848621368 	
DEBUG:root:Epoch: 3 	 Loss: 0.0809413269162178 	 loss eva: 0.09089067578315735 	
DEBUG:root:Epoch: 4 	 Loss: 0.08423568308353424 	 loss eva: 0.08952393382787704 	
DEBUG:root:Epoch: 5 	 Loss: 0.10081905871629715 	 loss eva: 0.09039346128702164 	
DEBUG:root:Epoch: 6 	 Loss: 0.0833241418004036 	 loss eva: 0.08989597111940384 	
DEBUG:root:Epoch: 7 	 Loss: 0.0995287075638771 	 loss eva: 0.09177818149328232 	
DEBUG:root:Epoch: 8 	 Loss: 0.07508484274148941 	 loss eva: 0.09062815457582474 	
DEBUG:root:Epoch: 9 	 Loss: 0.08871324360370636 	 loss eva: 0.09220604598522186 	
DEBUG:root:Epoch: 10 	 Loss: 0.09531925618648529 	 loss eva: 0.09033019840717316 	
DEBUG:root:Epoch: 11 	 Loss: 0.07005096971988678 	 loss eva: 0.0895145907998085 	
DEBUG:root:Epoch: 12 	 Loss: 0.08873913437128067 	 loss eva: 0.08879878371953964 	
DEBUG:root:Epoch: 13 	 Loss: 0.07158865034580231 	 loss eva: 0.09209785610437393 	
DEBUG:root:Epoch: 14 	 Loss: 0.09230407327413559 	 loss eva: 0.08573980629444122 	
DEBUG:root:Epoch: 15 	 Loss: 0.08085547387599945 	 loss eva: 0.08737103641033173 	
DEBUG:root:Epoch: 16 	 Loss: 0.08722327649593353 	 loss eva: 0.09001792967319489 	
DEBUG:root:Epoch: 17 	 Loss: 0.0851319283246994 	 loss eva: 0.09014216810464859 	
DEBUG:root:Epoch: 18 	 Loss: 0.08326239138841629 	 loss eva: 0.08832698315382004 	
DEBUG:root:Epoch: 19 	 Loss: 0.08456674963235855 	 loss eva: 0.0895194560289383 	
DEBUG:root:Epoch: 20 	 Loss: 0.08814121037721634 	 loss eva: 0.08852545917034149 	
DEBUG:root:Epoch: 21 	 Loss: 0.07971265912055969 	 loss eva: 0.09004911035299301 	
DEBUG:root:Epoch: 22 	 Loss: 0.09285062551498413 	 loss eva: 0.08785869926214218 	
