INFO:root:Start LIMU training for 3200 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 0.1324119120836258 	 loss eva: 0.056422941386699677 	
DEBUG:root:Epoch: 1 	 Loss: 0.10182039439678192 	 loss eva: 0.044182367622852325 	
DEBUG:root:Epoch: 2 	 Loss: 0.10779578238725662 	 loss eva: 0.042884331196546555 	
DEBUG:root:Epoch: 3 	 Loss: 0.11800162494182587 	 loss eva: 0.04086757078766823 	
DEBUG:root:Epoch: 4 	 Loss: 0.0983627587556839 	 loss eva: 0.04092789441347122 	
DEBUG:root:Epoch: 5 	 Loss: 0.11668688803911209 	 loss eva: 0.04129183664917946 	
DEBUG:root:Epoch: 6 	 Loss: 0.10692068934440613 	 loss eva: 0.040236372500658035 	
DEBUG:root:Epoch: 7 	 Loss: 0.11236337572336197 	 loss eva: 0.040881913155317307 	
DEBUG:root:Epoch: 8 	 Loss: 0.10647072643041611 	 loss eva: 0.04126310721039772 	
DEBUG:root:Epoch: 9 	 Loss: 0.11248266696929932 	 loss eva: 0.04152362048625946 	
DEBUG:root:Epoch: 10 	 Loss: 0.1083066314458847 	 loss eva: 0.04110473766922951 	
DEBUG:root:Epoch: 11 	 Loss: 0.11153867840766907 	 loss eva: 0.04068570211529732 	
DEBUG:root:Epoch: 12 	 Loss: 0.10507547855377197 	 loss eva: 0.040570612996816635 	
DEBUG:root:Epoch: 13 	 Loss: 0.11724908649921417 	 loss eva: 0.040779925882816315 	
DEBUG:root:Epoch: 14 	 Loss: 0.12128734588623047 	 loss eva: 0.04062502831220627 	
DEBUG:root:Epoch: 15 	 Loss: 0.09212644398212433 	 loss eva: 0.04036456719040871 	
DEBUG:root:Epoch: 16 	 Loss: 0.10418654978275299 	 loss eva: 0.04106782004237175 	
DEBUG:root:Epoch: 17 	 Loss: 0.1250419169664383 	 loss eva: 0.04144112020730972 	
DEBUG:root:Epoch: 18 	 Loss: 0.10645084828138351 	 loss eva: 0.04089868441224098 	
DEBUG:root:Epoch: 19 	 Loss: 0.12241603434085846 	 loss eva: 0.04155917838215828 	
DEBUG:root:Epoch: 20 	 Loss: 0.10385888814926147 	 loss eva: 0.04137687012553215 	
DEBUG:root:Epoch: 21 	 Loss: 0.09594154357910156 	 loss eva: 0.042124196887016296 	
DEBUG:root:Epoch: 22 	 Loss: 0.10829902440309525 	 loss eva: 0.04066907986998558 	
DEBUG:root:Epoch: 23 	 Loss: 0.10303326696157455 	 loss eva: 0.041486505419015884 	
DEBUG:root:Epoch: 24 	 Loss: 0.12050063163042068 	 loss eva: 0.04111618548631668 	
DEBUG:root:Epoch: 25 	 Loss: 0.11544322967529297 	 loss eva: 0.04168437421321869 	
DEBUG:root:Epoch: 26 	 Loss: 0.12184210866689682 	 loss eva: 0.041715119034051895 	
DEBUG:root:Epoch: 27 	 Loss: 0.10382917523384094 	 loss eva: 0.04110490903258324 	
DEBUG:root:Epoch: 28 	 Loss: 0.09922629594802856 	 loss eva: 0.041047606617212296 	
DEBUG:root:Epoch: 29 	 Loss: 0.10673196613788605 	 loss eva: 0.040842410176992416 	
DEBUG:root:Epoch: 30 	 Loss: 0.12004946172237396 	 loss eva: 0.041451554745435715 	
DEBUG:root:Epoch: 31 	 Loss: 0.10304010659456253 	 loss eva: 0.041502226144075394 	
DEBUG:root:Epoch: 32 	 Loss: 0.1154012680053711 	 loss eva: 0.041543662548065186 	
DEBUG:root:Epoch: 33 	 Loss: 0.09049339592456818 	 loss eva: 0.041140154004096985 	
DEBUG:root:Epoch: 34 	 Loss: 0.1072385385632515 	 loss eva: 0.04065757244825363 	
DEBUG:root:Epoch: 35 	 Loss: 0.12334562093019485 	 loss eva: 0.04157215729355812 	
DEBUG:root:Epoch: 36 	 Loss: 0.1027056947350502 	 loss eva: 0.04090278595685959 	
DEBUG:root:Epoch: 37 	 Loss: 0.12350909411907196 	 loss eva: 0.04201338440179825 	
DEBUG:root:Epoch: 38 	 Loss: 0.11216937750577927 	 loss eva: 0.041724126785993576 	
DEBUG:root:Epoch: 39 	 Loss: 0.10174426436424255 	 loss eva: 0.042346034198999405 	
DEBUG:root:Epoch: 40 	 Loss: 0.09442537277936935 	 loss eva: 0.04065190628170967 	
DEBUG:root:Epoch: 41 	 Loss: 0.1044878363609314 	 loss eva: 0.04147043451666832 	
DEBUG:root:Epoch: 42 	 Loss: 0.09317999333143234 	 loss eva: 0.04133090749382973 	
DEBUG:root:Epoch: 43 	 Loss: 0.10658075660467148 	 loss eva: 0.04094952344894409 	
DEBUG:root:Epoch: 44 	 Loss: 0.10997803509235382 	 loss eva: 0.04147879406809807 	
DEBUG:root:Epoch: 45 	 Loss: 0.12824006378650665 	 loss eva: 0.04077543690800667 	
DEBUG:root:Epoch: 46 	 Loss: 0.11882288753986359 	 loss eva: 0.0407090000808239 	
DEBUG:root:Epoch: 47 	 Loss: 0.10819118469953537 	 loss eva: 0.041621848940849304 	
DEBUG:root:Epoch: 48 	 Loss: 0.1174747496843338 	 loss eva: 0.04109586030244827 	
DEBUG:root:Epoch: 49 	 Loss: 0.13268005847930908 	 loss eva: 0.040511757135391235 	
DEBUG:root:Epoch: 50 	 Loss: 0.11453550308942795 	 loss eva: 0.0408245250582695 	
DEBUG:root:Epoch: 51 	 Loss: 0.1204347014427185 	 loss eva: 0.040897298604249954 	
DEBUG:root:Epoch: 52 	 Loss: 0.10759903490543365 	 loss eva: 0.040420208126306534 	
