INFO:root:Start LIMU fine-tuning head for 700 epochs.
INFO:root:Training with gpu: True.
DEBUG:root:Epoch: 0 	 Loss: 1.8736560344696045 	 train acc: 0.17647058823529413 	 eval acc: 0.48257211538461536test acc: 0.5144608613643509 	 train f1: 0.08990987699427598 	 eval f1: 0.11832565506505864 	 test f1: 0.1412070553672615
DEBUG:root:Epoch: 1 	 Loss: 1.8240962028503418 	 train acc: 0.19607843137254902 	 eval acc: 0.5576923076923077test acc: 0.565859792518076 	 train f1: 0.11363499245852186 	 eval f1: 0.14181965862656712 	 test f1: 0.1604081896119438
DEBUG:root:Epoch: 2 	 Loss: 1.786609411239624 	 train acc: 0.2647058823529412 	 eval acc: 0.5612980769230769test acc: 0.5669600754479723 	 train f1: 0.19563314130376952 	 eval f1: 0.1549768850685476 	 test f1: 0.17726776742929493
DEBUG:root:Epoch: 3 	 Loss: 1.7488718032836914 	 train acc: 0.2549019607843137 	 eval acc: 0.546875test acc: 0.5419679346117573 	 train f1: 0.19709741089051433 	 eval f1: 0.1819678991657121 	 test f1: 0.20483245721707544
DEBUG:root:Epoch: 4 	 Loss: 1.765505075454712 	 train acc: 0.28431372549019607 	 eval acc: 0.46694711538461536test acc: 0.488525620873939 	 train f1: 0.23376946314266012 	 eval f1: 0.19774558182726162 	 test f1: 0.20981495002122466
DEBUG:root:Epoch: 5 	 Loss: 1.7227258682250977 	 train acc: 0.28431372549019607 	 eval acc: 0.3629807692307692test acc: 0.4231373781829613 	 train f1: 0.2333511396011396 	 eval f1: 0.1814676332739168 	 test f1: 0.19699147322828214
DEBUG:root:Epoch: 6 	 Loss: 1.6910549402236938 	 train acc: 0.27450980392156865 	 eval acc: 0.31069711538461536test acc: 0.3667085822068532 	 train f1: 0.2307823381479491 	 eval f1: 0.17811628487189426 	 test f1: 0.18465186750205387
DEBUG:root:Epoch: 7 	 Loss: 1.6686972379684448 	 train acc: 0.3235294117647059 	 eval acc: 0.3010817307692308test acc: 0.3135806350204338 	 train f1: 0.27126169998752553 	 eval f1: 0.18157271897811167 	 test f1: 0.16846748199185804
DEBUG:root:Epoch: 8 	 Loss: 1.6427242755889893 	 train acc: 0.3431372549019608 	 eval acc: 0.3004807692307692test acc: 0.28827412763281984 	 train f1: 0.27535612535612536 	 eval f1: 0.19313578022002478 	 test f1: 0.1645244707896292
DEBUG:root:Epoch: 9 	 Loss: 1.6444615125656128 	 train acc: 0.4215686274509804 	 eval acc: 0.30228365384615385test acc: 0.3099654196793461 	 train f1: 0.3814922871352103 	 eval f1: 0.24690536570346192 	 test f1: 0.22687207504390416
DEBUG:root:Epoch: 10 	 Loss: 1.5948233604431152 	 train acc: 0.43137254901960786 	 eval acc: 0.2926682692307692test acc: 0.29676202452059103 	 train f1: 0.3798322996928151 	 eval f1: 0.2551719365422735 	 test f1: 0.2246367188051722
DEBUG:root:Epoch: 11 	 Loss: 1.6005473136901855 	 train acc: 0.43137254901960786 	 eval acc: 0.2932692307692308test acc: 0.273813266268469 	 train f1: 0.37526943396697715 	 eval f1: 0.258492193443233 	 test f1: 0.21529277720951043
DEBUG:root:Epoch: 12 	 Loss: 1.5940948724746704 	 train acc: 0.5098039215686274 	 eval acc: 0.2854567307692308test acc: 0.2519647909462433 	 train f1: 0.4349049545719296 	 eval f1: 0.2553572350067193 	 test f1: 0.20767613313034625
DEBUG:root:Epoch: 13 	 Loss: 1.5568417310714722 	 train acc: 0.5196078431372549 	 eval acc: 0.29086538461538464test acc: 0.24992140836215027 	 train f1: 0.43592632117476837 	 eval f1: 0.2583152598912481 	 test f1: 0.20656659409170652
DEBUG:root:Epoch: 14 	 Loss: 1.532320499420166 	 train acc: 0.5294117647058824 	 eval acc: 0.2920673076923077test acc: 0.23891857906318767 	 train f1: 0.4338092463092463 	 eval f1: 0.25720024437807937 	 test f1: 0.19749538984875695
DEBUG:root:Epoch: 15 	 Loss: 1.5579586029052734 	 train acc: 0.5294117647058824 	 eval acc: 0.29747596153846156test acc: 0.23986167871738448 	 train f1: 0.4347615244932544 	 eval f1: 0.2630057207408816 	 test f1: 0.19873078312830642
